driver_id,vehicle_id,age,driving_experience_yr,past_claims,traffic_violations,vehicle_type,vehicle_age_yr,engine_cc,avg_speed_kmh,harsh_braking_per100km,rapid_accel_per100km,cornering_force_avg_g,speeding_pct,night_driving_pct,total_trips,avg_trip_km,trip_completeness_pct,unverified_trips,days_since_policy_start,onboarding_phase,risk_score,risk_category,risk_label
DRV1201,VEH1201,48,2,0,1,Hatchback,12,2000,43.0,12.54,12.87,0.28,10.3,6.3,97,53.8,42.6,0,361,1,0.7201,High Risk,2
DRV1202,VEH1202,29,10,0,2,Hatchback,13,1200,46.4,3.14,6.98,0.443,8.8,32.8,66,8.8,86.4,9,298,1,0.4344,Medium Risk,1
DRV1203,VEH1203,53,9,0,0,Sedan,0,2000,91.2,2.16,8.57,0.526,41.7,43.0,54,40.8,60.7,6,106,1,0.5464,Medium Risk,1
DRV1204,VEH1204,52,25,0,0,SUV,3,1800,78.3,8.76,6.4,0.306,36.6,24.8,69,33.9,90.1,9,72,0,0.4897,Medium Risk,1
DRV1205,VEH1205,56,30,3,0,Two-Wheeler,12,160,82.7,10.85,4.08,0.434,4.6,6.8,66,8.9,91.6,6,275,1,0.4486,Medium Risk,1
DRV1206,VEH1206,21,0,0,0,Sedan,3,2000,84.1,10.75,8.92,0.071,32.7,24.6,105,30.6,55.6,12,179,1,0.7262,High Risk,2
DRV1207,VEH1207,42,15,2,0,Hatchback,12,1800,64.3,15.57,8.77,0.51,0.0,26.8,98,35.0,61.1,9,173,1,0.5781,Medium Risk,1
DRV1208,VEH1208,48,10,1,0,Hatchback,2,1800,46.6,14.2,2.43,0.08,37.4,37.2,14,19.5,97.2,2,166,1,0.459,Medium Risk,1
DRV1209,VEH1209,27,8,1,1,Hatchback,7,1800,59.9,2.32,7.57,0.435,10.6,26.5,107,31.1,68.5,7,106,1,0.4093,Medium Risk,1
DRV1210,VEH1210,19,0,0,1,Van,5,2000,39.9,7.42,6.86,0.272,29.2,20.9,36,33.6,60.5,13,196,1,0.4424,Medium Risk,1
DRV1211,VEH1211,19,0,3,2,Sedan,11,1800,92.7,15.87,2.82,0.3,0.8,32.6,47,11.0,64.1,4,211,1,0.551,Medium Risk,1
DRV1212,VEH1212,52,26,1,1,Hatchback,6,1000,76.9,17.19,2.96,0.116,1.9,36.8,31,4.9,83.7,6,213,1,0.4531,Medium Risk,1
DRV1213,VEH1213,48,26,0,1,Two-Wheeler,3,110,39.8,13.76,2.03,0.546,11.9,36.3,87,35.1,76.4,8,339,1,0.5027,Medium Risk,1
DRV1214,VEH1214,36,17,1,0,Van,3,2000,48.4,16.21,15.94,0.543,43.2,9.1,67,25.3,50.4,6,216,1,0.7686,High Risk,2
DRV1215,VEH1215,35,10,0,0,Hatchback,0,2000,82.3,6.57,1.98,0.266,9.4,33.0,86,47.7,50.9,14,63,0,0.7864,High Risk,2
DRV1216,VEH1216,59,10,0,1,Hatchback,11,1400,78.3,6.07,1.67,0.48,30.7,25.7,39,31.4,75.7,10,130,1,0.4755,Medium Risk,1
DRV1217,VEH1217,39,14,1,0,Van,6,1200,87.5,12.03,3.26,0.074,3.1,30.9,27,39.8,88.6,12,151,1,0.3651,Medium Risk,1
DRV1218,VEH1218,30,10,0,2,Hatchback,5,1800,69.2,10.9,11.05,0.293,11.1,26.0,70,22.8,69.6,1,146,1,0.5185,Medium Risk,1
DRV1219,VEH1219,30,1,0,0,Hatchback,3,2000,72.6,9.65,7.82,0.15,14.4,6.9,98,20.5,70.7,3,226,1,0.3519,Medium Risk,1
DRV1220,VEH1220,46,19,0,2,Sedan,6,1000,64.8,3.49,12.64,0.105,37.7,46.8,111,28.7,73.9,13,204,1,0.5396,Medium Risk,1
DRV1221,VEH1221,45,20,0,1,Van,6,1000,43.0,2.21,10.38,0.173,27.9,43.2,63,35.6,90.5,15,174,1,0.4386,Medium Risk,1
DRV1222,VEH1222,58,7,2,0,SUV,2,1500,65.8,2.7,1.18,0.098,23.5,41.5,20,16.4,50.2,12,234,1,0.8001,High Risk,2
DRV1223,VEH1223,27,6,3,2,Two-Wheeler,8,160,30.6,6.54,4.22,0.379,44.3,31.7,76,18.4,82.2,0,337,1,0.5598,Medium Risk,1
DRV1224,VEH1224,27,0,3,2,Van,9,1200,30.6,9.55,5.89,0.119,7.2,42.5,74,45.1,58.9,4,196,1,0.6637,High Risk,2
DRV1225,VEH1225,54,2,2,0,Sedan,4,1400,76.0,7.81,3.96,0.449,41.4,34.7,47,35.0,72.2,5,259,1,0.5537,Medium Risk,1
DRV1226,VEH1226,29,2,0,1,Hatchback,15,1800,93.6,9.3,6.92,0.499,39.7,39.9,10,37.1,86.8,10,62,0,0.657,High Risk,2
DRV1227,VEH1227,37,13,0,1,Sedan,12,800,64.9,3.21,14.73,0.427,21.6,0.3,102,39.0,40.8,9,308,1,0.8359,High Risk,2
DRV1228,VEH1228,42,17,0,1,Hatchback,3,1200,76.5,12.05,15.88,0.198,33.7,0.8,45,44.5,46.0,8,94,1,0.684,High Risk,2
DRV1229,VEH1229,55,36,1,1,Hatchback,10,2000,69.3,17.71,4.38,0.277,25.2,25.8,104,52.8,83.5,13,13,0,0.5867,Medium Risk,1
DRV1230,VEH1230,20,0,0,0,Two-Wheeler,13,125,70.5,2.41,4.92,0.228,33.0,35.5,86,39.5,61.6,12,44,0,0.4017,Medium Risk,1
DRV1231,VEH1231,42,11,0,0,SUV,6,2000,47.2,3.32,1.95,0.171,18.8,20.8,81,35.2,86.5,14,184,1,0.2584,Low Risk,0
DRV1232,VEH1232,54,8,1,0,Hatchback,15,1500,60.4,16.71,13.94,0.216,6.4,5.9,45,51.4,72.0,7,255,1,0.5333,Medium Risk,1
DRV1233,VEH1233,34,6,3,1,SUV,6,1000,79.1,8.33,5.42,0.249,9.7,17.6,29,12.0,93.8,0,35,0,0.4234,Medium Risk,1
DRV1234,VEH1234,28,0,0,0,Two-Wheeler,8,150,65.5,2.6,12.79,0.354,11.0,31.4,57,15.4,90.5,7,27,0,0.425,Medium Risk,1
DRV1235,VEH1235,51,24,2,0,Sedan,7,1000,71.0,0.62,2.05,0.463,44.6,48.0,23,26.5,83.4,10,282,1,0.4943,Medium Risk,1
DRV1236,VEH1236,35,12,0,1,Van,0,800,31.3,15.05,5.05,0.074,6.5,39.9,120,22.4,65.2,14,280,1,0.4085,Medium Risk,1
DRV1237,VEH1237,51,31,1,1,Sedan,2,800,68.4,2.67,8.73,0.453,17.2,28.7,87,42.1,43.8,1,84,0,0.7191,High Risk,2
DRV1238,VEH1238,58,10,0,2,Hatchback,5,1500,38.7,4.33,5.23,0.272,39.3,33.5,21,5.6,81.4,2,322,1,0.4546,Medium Risk,1
DRV1239,VEH1239,20,0,1,0,Van,10,2000,81.1,11.35,14.19,0.056,5.0,39.8,62,35.1,88.8,3,87,0,0.4902,Medium Risk,1
DRV1240,VEH1240,54,16,0,0,Sedan,3,1500,68.1,5.48,7.98,0.279,20.6,23.3,29,51.8,89.5,6,264,1,0.392,Medium Risk,1
DRV1241,VEH1241,25,1,3,2,Sedan,1,800,32.4,2.15,14.87,0.368,5.8,25.3,64,48.5,61.5,0,84,0,0.4691,Medium Risk,1
DRV1242,VEH1242,61,5,0,0,Sedan,14,1800,80.0,16.87,0.97,0.327,26.6,21.1,59,50.4,85.4,14,140,1,0.5226,Medium Risk,1
DRV1243,VEH1243,30,10,1,0,Sedan,1,2000,67.1,8.76,11.81,0.132,15.6,1.2,88,29.6,78.5,0,127,1,0.3782,Medium Risk,1
DRV1244,VEH1244,55,15,0,2,Sedan,3,2000,37.6,9.79,1.38,0.51,26.0,18.3,59,44.6,81.2,3,135,1,0.4647,Medium Risk,1
DRV1245,VEH1245,46,12,1,2,SUV,1,1800,53.6,16.23,4.54,0.193,1.3,12.0,29,9.2,89.4,4,154,1,0.4235,Medium Risk,1
DRV1246,VEH1246,48,10,0,2,Hatchback,4,1400,69.4,8.53,4.97,0.383,29.3,42.3,52,25.5,81.8,0,265,1,0.5358,Medium Risk,1
DRV1247,VEH1247,38,0,0,1,Two-Wheeler,14,100,65.8,13.6,9.84,0.063,31.5,15.4,65,19.2,59.0,14,345,1,0.7384,High Risk,2
DRV1248,VEH1248,32,11,2,0,Hatchback,9,1800,75.9,6.52,1.7,0.276,11.3,30.5,87,13.9,50.3,13,334,1,0.7837,High Risk,2
DRV1249,VEH1249,35,0,1,2,Sedan,8,1500,44.6,17.19,10.97,0.14,31.8,17.2,29,11.5,71.0,5,202,1,0.6138,Medium Risk,1
DRV1250,VEH1250,34,14,1,1,Hatchback,4,800,88.8,12.57,1.64,0.276,35.9,26.4,101,10.7,89.4,11,302,1,0.5295,Medium Risk,1
DRV1251,VEH1251,21,0,2,2,Van,1,1500,84.6,7.15,1.94,0.445,28.6,21.0,41,17.5,97.1,11,245,1,0.5101,Medium Risk,1
DRV1252,VEH1252,35,15,1,1,Hatchback,11,1800,79.4,14.0,9.41,0.118,30.7,40.9,84,54.7,58.7,13,332,1,0.7323,High Risk,2
DRV1253,VEH1253,60,9,0,0,SUV,14,2000,41.3,5.97,8.3,0.162,3.2,16.6,64,12.3,97.9,1,220,1,0.2936,Low Risk,0
DRV1254,VEH1254,54,27,2,1,SUV,5,1000,56.4,7.85,1.64,0.185,39.0,8.3,17,45.8,95.2,0,226,1,0.401,Medium Risk,1
DRV1255,VEH1255,52,21,1,0,Sedan,15,1800,67.7,3.06,8.01,0.428,0.9,27.8,116,21.6,59.4,11,307,1,0.728,High Risk,2
DRV1256,VEH1256,37,17,2,1,Hatchback,9,1800,62.3,17.15,1.68,0.548,33.8,13.1,120,9.2,92.6,11,91,1,0.6334,High Risk,2
DRV1257,VEH1257,30,10,3,2,Hatchback,13,1500,33.0,10.47,8.84,0.138,24.0,2.9,30,4.7,78.6,3,66,0,0.4846,Medium Risk,1
DRV1258,VEH1258,52,22,0,1,Two-Wheeler,8,100,82.3,14.97,0.81,0.407,2.2,2.4,73,30.4,71.6,14,214,1,0.4154,Medium Risk,1
DRV1259,VEH1259,34,2,1,0,Hatchback,8,1000,51.2,15.52,4.53,0.401,17.1,38.2,17,25.1,76.0,4,359,1,0.5387,Medium Risk,1
DRV1260,VEH1260,21,0,1,0,Van,13,800,94.9,12.52,3.62,0.174,21.7,3.5,97,11.3,84.6,3,7,0,0.4171,Medium Risk,1
DRV1261,VEH1261,19,0,0,1,Sedan,6,2000,64.0,13.1,1.36,0.052,8.1,6.5,82,9.1,92.6,3,310,1,0.2975,Low Risk,0
DRV1262,VEH1262,44,15,0,0,SUV,9,1500,53.4,8.51,7.59,0.469,17.6,22.1,116,5.9,44.2,15,122,1,0.7682,High Risk,2
DRV1263,VEH1263,54,4,0,1,Sedan,1,800,53.2,1.03,12.76,0.2,1.8,10.8,60,51.6,92.5,12,317,1,0.3001,Low Risk,0
DRV1264,VEH1264,27,4,2,0,Hatchback,9,1000,62.9,8.63,12.94,0.301,5.7,7.2,47,20.0,44.4,13,296,1,0.6704,High Risk,2
DRV1265,VEH1265,54,20,2,0,Sedan,6,1000,81.4,7.77,8.45,0.136,31.4,39.8,20,52.4,77.5,11,140,1,0.5112,Medium Risk,1
DRV1266,VEH1266,58,7,2,0,Two-Wheeler,0,125,48.8,12.25,8.76,0.392,27.7,4.5,66,9.2,97.4,7,126,1,0.5147,Medium Risk,1
DRV1267,VEH1267,55,18,0,0,Sedan,11,1500,87.0,1.84,4.75,0.538,40.1,49.3,61,44.2,80.5,15,184,1,0.541,Medium Risk,1
DRV1268,VEH1268,48,14,0,1,SUV,12,1800,57.2,11.55,9.61,0.429,12.3,42.9,45,15.2,94.2,12,39,0,0.5799,Medium Risk,1
DRV1269,VEH1269,32,9,0,0,Hatchback,2,1000,62.3,2.19,12.59,0.21,38.2,36.0,61,7.3,43.7,10,347,1,0.8059,High Risk,2
DRV1270,VEH1270,40,18,3,0,Hatchback,13,1200,61.1,15.27,5.24,0.198,27.0,14.1,50,54.9,81.1,8,249,1,0.5292,Medium Risk,1
DRV1271,VEH1271,34,14,2,0,Sedan,4,1400,61.9,15.94,13.04,0.23,0.9,23.2,61,36.6,57.0,9,314,1,0.7851,High Risk,2
DRV1272,VEH1272,53,5,1,0,Hatchback,8,1400,48.4,15.91,1.59,0.205,1.2,29.1,76,26.2,99.6,15,117,1,0.3983,Medium Risk,1
DRV1273,VEH1273,55,4,0,0,Hatchback,5,2000,38.4,2.35,8.56,0.057,41.3,11.8,52,35.4,82.7,12,188,1,0.3356,Low Risk,0
DRV1274,VEH1274,55,17,0,1,Sedan,11,1200,50.5,0.96,12.44,0.239,22.9,25.7,50,54.3,50.4,14,172,1,0.7166,High Risk,2
DRV1275,VEH1275,60,13,0,2,Sedan,14,1000,79.5,9.35,7.83,0.114,4.1,28.6,59,7.8,41.8,6,22,0,0.6969,High Risk,2
DRV1276,VEH1276,52,25,0,0,Hatchback,2,1500,41.0,11.04,14.74,0.333,17.7,5.5,87,35.3,93.3,8,352,1,0.4859,Medium Risk,1
DRV1277,VEH1277,53,22,0,0,Hatchback,0,1000,29.3,17.17,9.14,0.286,15.1,15.5,119,25.6,59.8,7,325,1,0.7363,High Risk,2
DRV1278,VEH1278,48,1,1,2,Sedan,1,1000,48.5,10.91,9.45,0.287,32.2,34.7,93,25.7,64.3,10,31,0,0.592,Medium Risk,1
DRV1279,VEH1279,28,5,3,1,SUV,6,1800,59.1,9.33,10.73,0.153,28.7,40.8,50,51.3,74.4,6,298,1,0.5719,Medium Risk,1
DRV1280,VEH1280,21,0,0,1,SUV,9,1500,72.1,6.93,12.17,0.322,13.1,47.6,60,12.7,64.4,11,277,1,0.5389,Medium Risk,1
DRV1281,VEH1281,53,6,3,0,Sedan,1,2000,62.5,12.95,8.58,0.395,31.4,46.6,93,27.1,71.7,8,210,1,0.6488,High Risk,2
DRV1282,VEH1282,60,18,3,0,Hatchback,4,1500,92.6,7.38,12.51,0.112,6.5,10.3,89,45.5,78.8,13,84,0,0.4273,Medium Risk,1
DRV1283,VEH1283,23,0,0,2,SUV,10,1000,80.9,10.09,4.0,0.104,42.7,0.3,67,18.6,86.7,3,244,1,0.4531,Medium Risk,1
DRV1284,VEH1284,59,20,0,0,Van,5,1000,68.7,14.48,15.31,0.314,10.1,44.8,82,35.4,57.7,6,106,1,0.6769,High Risk,2
DRV1285,VEH1285,20,1,0,2,Hatchback,6,800,59.0,7.75,9.4,0.055,18.4,14.6,22,4.5,41.9,0,174,1,0.7705,High Risk,2
DRV1286,VEH1286,34,14,1,1,SUV,9,1400,87.4,7.98,3.3,0.427,12.6,11.2,107,53.1,97.2,3,308,1,0.4235,Medium Risk,1
DRV1287,VEH1287,29,6,1,0,SUV,12,1800,32.7,10.63,12.11,0.252,28.9,39.5,42,5.1,48.9,11,341,1,0.7658,High Risk,2
DRV1288,VEH1288,56,17,1,2,SUV,8,1000,65.1,0.66,2.86,0.259,38.4,43.6,11,3.4,84.3,1,79,0,0.4378,Medium Risk,1
DRV1289,VEH1289,40,2,2,0,Sedan,0,1400,36.5,11.05,8.8,0.117,4.1,32.0,13,52.1,95.3,8,129,1,0.394,Medium Risk,1
DRV1290,VEH1290,53,23,0,2,SUV,4,1400,86.5,12.7,3.52,0.535,1.8,39.6,92,15.4,59.8,6,280,1,0.8438,High Risk,2
DRV1291,VEH1291,58,6,3,1,Hatchback,14,800,57.9,0.9,2.61,0.306,20.8,35.6,69,24.0,59.5,5,196,1,0.7776,High Risk,2
DRV1292,VEH1292,28,7,0,2,Sedan,13,1400,81.9,6.49,0.62,0.468,2.8,11.6,11,13.8,85.2,5,260,1,0.3694,Medium Risk,1
DRV1293,VEH1293,21,0,2,0,Sedan,4,1000,51.8,11.01,14.95,0.284,38.7,20.3,43,5.9,88.8,10,268,1,0.6222,High Risk,2
DRV1294,VEH1294,54,28,1,2,SUV,2,1500,71.6,5.39,8.04,0.439,30.7,33.2,50,30.3,62.6,1,326,1,0.5493,Medium Risk,1
DRV1295,VEH1295,42,12,3,0,Van,1,800,70.3,6.99,13.87,0.127,16.7,10.9,49,33.5,87.5,0,238,1,0.4371,Medium Risk,1
DRV1296,VEH1296,51,32,2,2,Sedan,6,1400,62.1,9.29,12.21,0.102,42.3,42.0,44,11.1,81.4,9,292,1,0.6365,High Risk,2
DRV1297,VEH1297,21,0,0,2,Hatchback,14,1400,88.1,15.75,10.28,0.296,31.2,25.2,81,32.5,65.2,0,100,1,0.6661,High Risk,2
DRV1298,VEH1298,58,19,0,1,SUV,4,800,32.8,16.61,13.17,0.275,32.5,35.7,84,23.6,95.0,12,221,1,0.6585,High Risk,2
DRV1299,VEH1299,42,23,0,0,SUV,14,1400,40.2,16.06,12.6,0.52,17.3,4.9,88,10.5,57.7,8,300,1,0.7109,High Risk,2
DRV1300,VEH1300,20,0,1,2,Van,10,1500,47.3,15.69,6.24,0.52,33.1,34.4,36,43.6,69.4,5,351,1,0.6907,High Risk,2
DRV1301,VEH1301,48,15,0,0,Sedan,6,800,91.6,6.47,7.71,0.27,26.0,20.5,58,8.0,44.5,8,97,1,0.6934,High Risk,2
DRV1302,VEH1302,24,0,0,1,SUV,14,1000,84.2,10.87,8.7,0.417,36.7,45.9,70,8.6,49.2,5,3,0,0.841,High Risk,2
DRV1303,VEH1303,43,13,1,0,Sedan,8,2000,55.2,9.71,5.91,0.103,19.7,9.8,20,6.3,71.8,1,222,1,0.3528,Medium Risk,1
DRV1304,VEH1304,52,17,0,1,Hatchback,1,1800,53.5,5.64,10.49,0.145,21.8,29.0,62,50.2,83.2,12,92,1,0.4192,Medium Risk,1
DRV1305,VEH1305,50,8,1,0,Hatchback,5,2000,37.8,17.9,1.67,0.427,23.2,46.3,35,36.4,61.2,15,31,0,0.5779,Medium Risk,1
DRV1306,VEH1306,28,9,1,0,SUV,13,1500,81.8,5.13,11.79,0.146,23.8,25.3,24,37.4,87.7,0,273,1,0.4479,Medium Risk,1
DRV1307,VEH1307,34,9,0,1,Sedan,13,1000,50.5,17.72,8.41,0.481,24.7,25.5,12,4.9,44.9,4,146,1,0.6525,High Risk,2
DRV1308,VEH1308,55,15,0,1,Two-Wheeler,5,160,87.0,2.35,4.41,0.092,41.0,6.4,101,31.1,60.6,15,305,1,0.3519,Medium Risk,1
DRV1309,VEH1309,40,2,1,0,SUV,15,1800,38.2,7.99,11.2,0.127,8.9,22.5,62,46.5,69.8,11,240,1,0.4019,Medium Risk,1
DRV1310,VEH1310,22,0,3,0,Two-Wheeler,13,160,88.5,8.72,5.45,0.404,3.0,49.1,103,26.4,51.3,6,28,0,0.7273,High Risk,2
DRV1311,VEH1311,55,23,2,0,Sedan,5,1400,67.4,12.75,0.92,0.355,23.1,48.2,106,46.8,84.6,14,9,0,0.5278,Medium Risk,1
DRV1312,VEH1312,47,23,1,0,Hatchback,1,2000,43.7,8.81,3.14,0.508,44.5,45.6,35,9.2,92.7,11,87,0,0.5661,Medium Risk,1
DRV1313,VEH1313,31,1,1,0,Two-Wheeler,5,110,67.9,7.93,1.25,0.378,9.8,16.3,102,44.7,64.4,15,224,1,0.3558,Medium Risk,1
DRV1314,VEH1314,51,27,2,0,Sedan,2,1800,59.4,3.26,5.6,0.143,12.6,31.9,73,15.3,81.9,14,303,1,0.3271,Low Risk,0
DRV1315,VEH1315,44,16,1,0,Hatchback,5,800,32.5,3.34,13.13,0.426,44.5,3.3,48,14.8,40.0,5,86,0,0.7736,High Risk,2
DRV1316,VEH1316,27,3,1,0,Hatchback,15,1200,40.5,3.82,6.08,0.155,13.6,10.2,17,7.0,66.8,7,126,1,0.2884,Low Risk,0
DRV1317,VEH1317,52,26,1,2,SUV,2,1400,87.3,4.58,13.3,0.483,10.5,3.2,52,7.2,78.1,0,71,0,0.4937,Medium Risk,1
DRV1318,VEH1318,41,22,0,0,Hatchback,11,2000,65.7,8.08,7.31,0.228,9.4,3.5,80,40.7,61.2,5,84,0,0.3383,Low Risk,0
DRV1319,VEH1319,57,27,3,0,Sedan,3,2000,91.6,3.7,13.73,0.303,22.9,1.7,118,9.1,48.7,6,285,1,0.8178,High Risk,2
DRV1320,VEH1320,34,10,0,1,Hatchback,12,1200,42.6,10.25,2.0,0.18,3.6,46.3,26,47.0,73.2,12,97,1,0.3774,Medium Risk,1
DRV1321,VEH1321,40,11,0,1,Hatchback,11,1200,39.3,6.55,15.11,0.514,31.0,41.8,29,52.8,71.1,13,28,0,0.6499,High Risk,2
DRV1322,VEH1322,61,41,2,0,Sedan,7,1400,63.9,13.33,5.53,0.441,39.0,34.6,106,9.8,62.2,0,212,1,0.6187,Medium Risk,1
DRV1323,VEH1323,24,3,1,2,Two-Wheeler,4,100,86.1,4.59,7.14,0.11,12.5,6.3,67,48.7,52.5,9,47,0,0.722,High Risk,2
DRV1324,VEH1324,49,10,0,0,Sedan,15,1000,53.8,10.69,7.41,0.342,18.6,14.4,64,3.7,65.0,7,205,1,0.4567,Medium Risk,1
DRV1325,VEH1325,61,12,0,2,Two-Wheeler,3,125,73.4,7.69,10.15,0.112,32.4,42.1,107,41.5,58.7,14,48,0,0.8034,High Risk,2
DRV1326,VEH1326,24,1,1,0,Sedan,6,1000,33.9,13.8,13.49,0.544,2.0,22.8,26,23.7,55.4,9,100,1,0.8287,High Risk,2
DRV1327,VEH1327,22,0,1,0,SUV,11,1400,75.5,14.29,8.48,0.171,33.7,41.3,104,9.6,49.1,5,217,1,0.8055,High Risk,2
DRV1328,VEH1328,46,26,0,0,Two-Wheeler,1,160,45.4,4.86,7.29,0.349,5.1,48.1,16,35.5,44.7,2,242,1,0.7879,High Risk,2
DRV1329,VEH1329,21,1,1,2,Hatchback,9,1400,58.6,2.36,15.51,0.268,33.6,8.0,93,54.1,83.3,11,254,1,0.5266,Medium Risk,1
DRV1330,VEH1330,20,0,0,2,Sedan,9,1400,66.6,14.14,6.01,0.177,2.4,36.9,86,14.7,86.6,13,305,1,0.4846,Medium Risk,1
DRV1331,VEH1331,56,7,0,1,Hatchback,1,2000,50.5,13.16,4.69,0.24,17.8,6.7,70,22.6,43.3,15,350,1,0.6779,High Risk,2
DRV1332,VEH1332,42,0,1,0,SUV,0,800,73.0,17.56,14.39,0.488,40.4,20.3,51,8.3,95.6,14,126,1,0.7538,High Risk,2
DRV1333,VEH1333,37,0,1,0,Van,0,2000,31.2,15.42,8.08,0.187,37.6,16.8,90,54.4,80.2,10,34,0,0.5217,Medium Risk,1
DRV1334,VEH1334,33,10,3,1,Hatchback,15,1200,50.7,16.63,1.64,0.317,21.4,4.8,54,35.6,88.6,13,363,1,0.5284,Medium Risk,1
DRV1335,VEH1335,36,7,2,0,Hatchback,5,1200,83.2,4.24,11.66,0.073,18.4,47.1,24,32.0,80.5,9,114,1,0.455,Medium Risk,1
DRV1336,VEH1336,40,14,3,2,SUV,8,1000,65.8,10.85,15.05,0.419,41.9,45.7,29,45.6,53.6,14,24,0,0.6593,High Risk,2
DRV1337,VEH1337,50,22,1,1,SUV,14,1000,91.2,10.19,11.6,0.416,11.9,4.9,47,47.9,98.7,12,103,1,0.5508,Medium Risk,1
DRV1338,VEH1338,21,2,1,2,SUV,6,800,40.6,7.23,4.72,0.541,24.2,0.8,53,24.9,74.6,11,333,1,0.474,Medium Risk,1
DRV1339,VEH1339,46,11,1,0,SUV,2,1800,93.3,0.93,8.31,0.234,38.5,40.8,109,29.4,64.5,14,262,1,0.4667,Medium Risk,1
DRV1340,VEH1340,60,39,0,1,Two-Wheeler,1,110,79.3,14.78,10.8,0.381,41.8,35.6,68,6.8,73.1,0,69,0,0.6819,High Risk,2
DRV1341,VEH1341,30,8,3,0,Sedan,1,1000,32.3,5.43,6.78,0.335,0.2,24.3,18,22.8,91.1,7,33,0,0.3478,Low Risk,0
DRV1342,VEH1342,41,7,3,2,Two-Wheeler,5,100,56.7,2.6,11.83,0.2,2.8,20.8,111,34.5,89.2,7,31,0,0.4111,Medium Risk,1
DRV1343,VEH1343,25,6,1,0,Hatchback,7,1500,37.5,16.27,0.85,0.214,44.5,23.2,11,50.9,40.2,2,52,0,0.7784,High Risk,2
DRV1344,VEH1344,42,4,0,1,Sedan,1,1200,82.3,13.44,2.99,0.515,18.6,4.8,67,48.4,45.6,14,189,1,0.6641,High Risk,2
DRV1345,VEH1345,58,26,0,0,Sedan,2,1000,40.9,3.01,9.74,0.527,17.6,13.3,105,4.2,79.3,11,240,1,0.4037,Medium Risk,1
DRV1346,VEH1346,27,3,1,1,Sedan,15,1500,76.3,13.63,5.17,0.366,24.0,39.4,50,12.5,94.5,0,99,1,0.5911,Medium Risk,1
DRV1347,VEH1347,59,37,1,0,Hatchback,1,2000,75.0,0.79,5.39,0.07,44.6,3.0,11,35.5,94.5,9,348,1,0.3098,Low Risk,0
DRV1348,VEH1348,35,10,0,0,Sedan,3,1800,76.8,3.98,10.01,0.148,17.2,44.4,28,23.9,58.7,15,232,1,0.6644,High Risk,2
DRV1349,VEH1349,50,23,2,0,SUV,7,1800,49.5,17.22,4.19,0.472,43.4,29.5,73,14.9,49.8,9,333,1,0.7453,High Risk,2
DRV1350,VEH1350,28,1,0,1,Sedan,12,2000,50.8,9.64,6.79,0.241,23.3,2.7,97,41.6,57.2,5,324,1,0.8497,High Risk,2
DRV1351,VEH1351,21,1,0,0,Sedan,12,800,67.3,15.02,2.81,0.51,17.6,25.6,68,9.0,47.3,12,311,1,0.8004,High Risk,2
DRV1352,VEH1352,50,3,0,2,Hatchback,10,800,43.7,17.03,12.42,0.418,25.0,10.1,30,50.8,86.5,11,163,1,0.6618,High Risk,2
DRV1353,VEH1353,28,3,1,2,Sedan,13,1200,34.1,15.5,12.33,0.508,42.9,36.8,111,28.8,43.4,3,15,0,0.8084,High Risk,2
DRV1354,VEH1354,57,12,1,1,Two-Wheeler,11,110,69.2,13.8,3.47,0.123,31.3,35.1,78,31.2,91.5,0,84,0,0.5102,Medium Risk,1
DRV1355,VEH1355,29,1,0,2,SUV,6,1800,74.0,7.2,8.91,0.085,39.2,17.2,97,49.1,56.3,6,14,0,0.7548,High Risk,2
DRV1356,VEH1356,36,12,0,2,Van,4,1800,84.2,7.04,2.91,0.144,22.8,35.3,82,18.9,92.6,1,344,1,0.4059,Medium Risk,1
DRV1357,VEH1357,32,10,1,2,Van,10,1200,56.2,9.28,10.19,0.296,18.5,32.7,108,48.5,94.1,1,9,0,0.5449,Medium Risk,1
DRV1358,VEH1358,25,2,3,1,Van,10,1500,79.0,13.02,1.74,0.146,8.7,26.6,94,20.8,54.1,0,15,0,0.7593,High Risk,2
DRV1359,VEH1359,48,7,0,0,SUV,14,1800,87.3,9.71,4.51,0.511,1.4,32.3,111,27.9,98.0,1,172,1,0.4516,Medium Risk,1
DRV1360,VEH1360,45,21,0,0,SUV,12,1500,39.9,10.29,13.04,0.165,30.6,6.3,21,10.3,97.1,1,114,1,0.4663,Medium Risk,1
DRV1361,VEH1361,51,12,0,1,Sedan,5,1500,82.1,13.95,14.38,0.168,16.5,42.7,91,3.6,66.1,7,177,1,0.6032,Medium Risk,1
DRV1362,VEH1362,61,40,1,1,Hatchback,13,1400,58.4,6.83,5.33,0.228,1.9,36.0,73,46.8,79.3,14,236,1,0.393,Medium Risk,1
DRV1363,VEH1363,28,6,2,1,Hatchback,11,1200,43.5,14.92,2.3,0.052,36.2,15.3,106,11.0,82.6,6,177,1,0.4736,Medium Risk,1
DRV1364,VEH1364,30,6,0,2,Hatchback,9,1800,62.5,4.62,13.48,0.501,23.2,47.5,89,29.8,99.7,12,86,0,0.6268,High Risk,2
DRV1365,VEH1365,56,7,0,1,Hatchback,12,1200,60.9,6.16,11.17,0.35,18.3,34.4,48,12.4,47.0,2,358,1,0.6863,High Risk,2
DRV1366,VEH1366,18,0,0,2,Hatchback,0,2000,77.3,2.95,1.97,0.135,6.8,29.5,104,16.7,55.1,13,15,0,0.7354,High Risk,2
